title,year,avg_vote,votes
Mutluluk,2007,7.5,7194
The Neighbor,2007,5.4,1050
Style,2006,5.9,317
Frozen River,2008,7.1,23871
Mary and Max,2009,8.1,154252
Sucker Punch,2011,6,221105
Chakushin ari final,2006,5,1621
La cucina,2007,4.6,297
Una semana solos,2007,5.9,348
Lottery Ticket,2010,5,10176
881,2007,6.3,304
Hattrick,2007,4.2,416
Into the Arms of Strangers,2007,5.5,128
Life Mein Kabhie Kabhiee,2007,5.9,245
Magnus,2007,5.9,450
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.3,132679
Cristóvão Colombo - O Enigma,2007,5.6,372
Four,2012,5.8,404
Like Dandelion Dust,2009,7,2665
The Lucky Ones,2008,6.9,13010
Midnight Movie,2008,5.1,3683
Nick and Norah's Infinite Playlist,2008,6.6,85769
Funkytown,2011,6.3,785
Hotel Meina,2007,6.1,106
Tocar el cielo,2007,6.1,202
Ulak,2008,6.8,4246
Baixio das Bestas,2006,6.3,931
Gauri: The Unborn,2007,3.6,101
Linas kvällsbok,2007,5.2,985
Meer is nich,2007,6.4,103
Mi fido di te,2007,6.6,582
Final Draft,2007,3.7,550
Road to Victory,2007,5,293
Swiadek koronny,2007,5.2,631
Unnale Unnale,2007,7.1,499
The Adventures of Tintin,2011,7.3,205575
Byôsoku 5 senchimêtoru,2007,7.6,45829
You're Nobody 'til Somebody Kills You,2012,3.1,183
Ze zycie ma sens,2001,7.1,119
Real Time,2008,6.7,2360
1971,2007,7.9,1122
1 beon-ga-eui gi-jeok,2007,6.6,360
Bokmyeon dalho,2007,6.4,305
Jochi Anihan-ga,2007,6.5,146
Kay Dyache Bola,2005,7.1,187
Kim-gwanjang dae Kim-gwanjang dae Kim-gwanjang,2007,6.2,256
Snuff 102,2007,3.6,845
Swami,2007,7,327
Umut adasi,2006,5.5,326
Miao Miao,2008,5.8,978
Tres días,2008,6,2020
A Casa de Alice,2007,6.9,586
Amarkalam,1999,7.3,1305
Incendiary,2008,5.8,8110
Kadhal Kottai,1996,7.4,888
Multiple Sarcasms,2010,4.9,586
"Naui chingu, geuui anae",2006,6.3,136
Slices,2008,2.7,285
Vaanmathi,1996,5.8,229
Año uña,2007,6.6,302
Dark Floors,2008,4.5,6426
Animal 2,2008,5,895
Bounty,2009,2.9,154
Garrison,2008,3.5,261
Metropia,2009,6.3,7134
Night Crawlers,2009,3.7,155
Mu-rim-yeo-dae-saeng,2008,6.3,714
Zincirbozan,2007,5.7,562
Miss Conception,2008,4.6,2557
Centochiodi,2007,6.4,684
K. Il bandito,2008,7,117
Laaga Chunari Mein Daag: Journey of a Woman,2007,5.3,2162
Underbar och älskad av alla (och på jobbet går det också bra),2007,4.9,760
Machete,2010,6.6,184462
The Smell of Success,2009,5.2,1045
Valkyrie,2008,7.1,217281
Aaja Nachle,2007,6.3,2692
Cadavres,2009,5.4,539
Duska,2007,6.6,599
French Film,2008,6.5,732
Lekcje pana Kuki,2008,5.5,169
Hunger,2008,7.6,62288
Naalu Pennungal,2007,6.7,157
Surrogates,2009,6.3,164666
Taare Zameen Par,2007,8.4,148790
Ciao Bella,2007,5.1,870
Mungaru Male,2006,8.3,2553
Maaginen kristalli,2011,3.9,191
Marked,2007,3.5,115
Ironiya sudby. Prodolzhenie,2007,5,3152
Chronic Town,2008,5.5,100
One-Eyed Monster,2008,4.2,2215
Sherlock Holmes,2009,7.6,557059
Traitor,2008,7,53598
Killer Movie,2008,4.5,2624
Karlas kabale,2007,5.3,182
Klass,2007,7.9,13660
27 Dresses,2008,6.1,147107
A Flat,2010,4.6,191
Donkey Punch,2008,5.1,10296
Karma Police,2008,3.8,152
Gekijô-ban Naruto shippûden,2007,6.9,2712
In Search of a Midnight Kiss,2007,7.2,7773
Jean Charles,2009,6.3,1094
42plus,2007,5.5,140
The Bodyguard 2,2007,5.4,914
Hau mo chu,2007,4.1,193
Undertrial,2007,6.6,204
Dear John,2010,6.3,131179
Suspension,2008,5.1,1286
Jibon Theke Neya,1970,9.4,1651
Ouija,2007,4.7,177
Shi san ke pao tong,2006,6.8,141
Black,2009,5.1,330
La chambre des morts,2007,6.3,1589
Detention,2010,3,891
A Grande Família: O Filme,2007,5.6,671
Meitantei Conan: Bekâ Sutorîto no bôrei,2002,7.8,2130
Sarah Landon and the Paranormal Hour,2007,3.7,649
Chop Shop,2007,7.3,3898
The Green Hornet,2011,5.8,150194
Sugar,2008,7.2,4477
Cafe Setareh,2006,6.8,727
The Debt,2007,6.9,869
O gios tou fylaka,2006,6.5,133
A Love Story,2007,6.4,108
Partes usadas,2007,6.7,175
Christmas in Wonderland,2007,4.8,1938
Ping Pong Playa,2007,5.9,2878
Ingenious,2009,5.8,1791
Ashita no watashi no tsukurikata,2007,6.5,266
Koi suru madori,2007,6.1,158
Remon no koro,2007,6.5,119
Ryû ga gotoku: Gekijô-ban,2007,6.2,1265
Beste Zeit,2007,6.7,369
Comme ton père,2007,5.1,115
Bhoothnath,2008,6.3,7067
Le grand alibi,2008,5.4,501
Les randonneurs à Saint-Tropez,2008,4.5,488
Nije kraj,2008,7.1,890
Dou foh sin,2007,6.8,11916
Bluff,2007,7.3,1008
David & Fatima,2008,4.7,201
Em,2008,7.2,491
Ploy,2007,6.8,1398
Un conte de Noël,2008,7.1,6296
Dead Air,2009,5.2,2184
Hanna,2011,6.8,181458
The Wolf of Wall Street,2013,8.2,1069854
Gekijouban Shakugan no Shana,2007,6.4,163
Adventure Scouts,2010,5.9,1593
Fighter,2007,6.5,1399
Bhool Bhulaiyaa,2007,7.2,19486
Dhol,2007,6.2,4208
Ghost Town,2008,6.7,66695
Brutal Massacre: A Comedy,2007,6.1,687
Community College,2009,5.1,108
Buick Riviera,2008,6.3,230
Ek Chalis Ki Last Local,2007,7.3,4347
Nam yee boon sik,2007,6.7,2689
No Smoking,2007,7.2,5824
Rusalka,2007,7.3,3039
Tashan,2008,3.8,4579
Zomerhitte,2008,5.2,1382
Khoya Khoya Chand,2007,6.3,477
The Train: Some Lines Should Never Be Crossed...,2007,4.2,950
XXY,2007,7.1,12489
Aap Kaa Surroor: The Moviee - The Real Luv Story,2007,2.1,1549
The Courier,2012,4.5,4349
Vision - Aus dem Leben der Hildegard von Bingen,2009,6.5,990
In Her Skin,2009,6.4,4446
Mr. Bones 2: Back from the Past,2008,4.5,668
Pelé: Birth of a Legend,2016,7.2,14563
Kantoku · Banzai!,2007,6.4,1806
Les chansons d'amour,2007,7.1,8545
Pethainontas stin Athina,2006,4.9,160
Tsiou...,2005,6.9,1728
The Extendables,2014,3.6,186
L'apprenti,2008,6.9,119
Attack of the Giant Leeches,2008,1.4,227
Barcelona (un mapa),2007,6,168
Cortex,2008,6.2,742
Deux jours à tuer,2008,7.1,2732
La fabrique des sentiments,2008,6,255
Farm House,2008,5.5,2274
Huhwihaji anha,2006,6.9,1698
La jeune fille et les loups,2008,6.2,454
Lady Jane,2008,6.2,329
Legend of the Red Reaper,2013,2.1,509
Modern Love,2008,5.3,266
Ma-i pa-deo,2007,7,158
Otis,2008,6,4784
"Mèche Blanche, les aventures du petit castor",2008,7.1,262
Sup fun oi,2007,5.7,200
Alien Raiders,2008,5.6,8356
Turneja,2008,7.2,2300
Bibliothèque Pascal,2010,7.1,1658
The Butcher,2009,5.3,677
Caixa Dois,2007,6,356
College Road Trip,2008,4.3,14793
An Englishman in New York,2009,7.2,1273
Foreldrar,2007,7,296
Máj,2008,5,196
One piece: Chinjou shima no chopper oukoku,2002,6.5,1005
Saido kâ ni inu,2007,6.9,182
Ahiru to kamo no koinrokkâ,2007,7.1,637
Bled,2009,2.9,901
Dai-Nihonjin,2007,6.3,3277
The Experiment,2010,6.4,49157
Hatsuyuki no koi,2007,6.5,857
Hero,2007,6.8,722
Jigyaku no uta,2007,6.8,287
Kimi ni shika kikoenai,2007,6.6,196
Little DJ: Chiisana koi no monogatari,2007,7,140
Middonaito îguru,2007,4.6,121
Quiet room ni yôkoso,2007,7.1,643
Sono toki wa kare ni yoroshiku,2007,6.5,271
Tenkôsei: Sayonara anata,2007,6.9,188
Tennen kokekkô,2007,7.3,886
Time,2007,4.2,116
Tummien perhosten koti,2008,6.9,2255
Forest of the Dead,2007,2.8,113
Sebeun deijeu,2007,6.8,1456
Avaze gonjeshk-ha,2008,7.9,8537
"Koshka, kotoraya gulyala sama po sebe",1988,7,136
Rosa: The Movie,2007,4.5,395
Unmade Beds,2009,6.6,2352
Clannad,2007,7.5,1404
Der goldene Nazivampir von Absam 2 - Das Geheimnis von Schloß Kottlitz,2008,4.6,307
I demoni di San Pietroburgo,2008,6.2,286
Solstorm,2007,5.1,1701
Il 7 e l'8,2007,6.4,1616
Christmas Cottage,2008,6.5,2169
Nailed,2007,7,157
Sekai meisaku dôwa: Hakuchou no ouji,1977,7.1,177
Straw Dogs,2011,5.8,31614
Ticalosii,2007,7.2,623
Urutoraman Mebiusu ando Urutora kyôdai,2006,6.7,113
Chronicles of an Exorcism,2008,3.3,210
The Fear Chamber,2009,3.3,460
Pledge of Allegiance,2007,4.1,143
Didine,2008,6.1,141
Gekijô-ban poketto monsutâ: Adobansu jenerêshon pokemon renjâ to umi no ôji manafi,2006,6,1908
Joyjatra,2004,8.3,634
Megher Pore Megh,2004,7.3,121
Prism,2007,3.9,103
Sing kung chok tse sup yut tam,2007,7,313
Pattabhiraman,2019,8,798
Jagtsæson,2019,5.5,115
Pilgrim's Progress,2008,6.1,288
Prince of Broadway,2008,6.9,393
Sex and the City,2008,5.6,111842
Shuang shi ji,2008,6.3,281
Bull,2019,8.7,1238
Family Obligations,2019,5,201
IRIS: A Space Opera by Justice,2019,7.9,179
UPA! Una película argentina,2007,6.4,117
He's Just Not That Into You,2009,6.4,152527
Megamind,2010,7.2,212978
My Father's Will,2009,5.5,184
Perestroika,2009,4.4,125
Contract Killers,2008,4.5,1127
Witless Protection,2008,3.3,5889
Ispade Rajavum Idhaya Raniyum,2019,6.4,269
'P' fung bou,2019,5.8,391
Gone Kesh,2019,7,228
The Protector,2019,5.6,165
Nedunalvaadai,2019,7.6,134
Proibido Proibir,2006,7,560
Come Dio comanda,2008,6.5,1302
Liverpool,2008,6.3,955
2:13,2009,4.9,1104
The Young Messiah,2016,5.6,2938
Henjel gwa Geuretel,2007,6.7,4122
7 km da Gerusalemme,2007,5.8,101
Dos abrazos,2007,6.4,154
Dva v odnom,2007,6.7,262
Hofshat Kaits,2007,6.7,410
Y.M.I. Yeh Mera India,2008,7.8,872
Broken Angel,2008,6.3,1307
Ca$h,2008,6,4285
Dead Country,2008,2.9,112
"Tot, kto gasit svet",2008,6,236
House of Fears,2007,4.8,1764
Kollegiet,2007,4.4,1346
La leyenda de la Nahuala,2007,6.3,357
Lie to Me,2008,6,1573
The Map Reader,2008,5.2,111
Máncora,2008,6.5,1073
Nevando voy,2007,6.5,105
No me pidas que te bese porque te besaré,2008,6.2,268
Notre univers impitoyable,2008,5.8,367
Perrier's Bounty,2009,6.4,6095
Secret défense,2008,6.4,3186
Sleepwalker,1984,5.8,264
Zelyonyy slonik,1999,5.5,1873
Savarkhed: Ek Gaav,2004,7.1,162
Mukherjee Dar Bou,2019,7.9,188
Countdown,2019,5.4,3249
My Stupid Boss 2,2019,6.8,185
The Exorcist III: Legion,2016,7.4,120
Kapi,2019,6.5,153
Alem-i Cin 2,2019,4.9,371
Staged Killer,2019,3.3,194
Vellaipookal,2019,7.3,918
El asaltante,2007,6.6,263
Kings of the Evening,2008,5.9,232
Last Breath,2010,3.8,257
Lian xi qu,2006,7.1,565
One piece: Dead end no bôken,2003,7.3,1302
The Other Side of the Tracks,2008,5,630
The Open Road,2009,5.5,3292
Zack and Miri Make a Porno,2008,6.5,167732
The Iron Lady,2011,6.4,97883
iMurders,2008,4.1,1250
Manmadhudu 2,2019,4.6,309
We Are Legends,2019,5.1,106
Le Miracle du Saint Inconnu,2019,6.6,112
Diminished Capacity,2008,5.6,1135
The Narrows,2008,6.2,1455
Palermo Shooting,2008,6.2,2617
Proud American,2008,1.1,762
Sweater,2019,7.4,299
Chandigarh amritsar chandigarh,2019,7.7,1254
Anna Nicole,2007,4.4,513
The Minis,2007,2.4,399
Crimes of the Past,2009,4.2,268
Dybbuk Box: The Story of Chris Chambers,2019,7.5,578
Song wo shang qing yun,2019,6.3,132
Gong tau,2007,5.6,388
Koi wa go-shichi-go!,2005,1.9,259
The Lovebirds,2007,5.7,143
Mo,2007,6.6,183
Slumdog Millionaire,2008,8,759581
Surveillance,2007,5.1,273
Yattâman,2009,6,1726
2 Gisht Mjaltë,2019,2.4,447
Varg Veum - Falne engler,2008,6.8,2003
The Poughkeepsie Tapes,2007,6.1,13025
Hardcover,2008,6.5,548
Densen uta,2007,5.1,284
Ji yin jue ding wo ai ni,2007,4.9,116
Nowhere Man,2008,5.7,145
Canciones de amor en Lolita's Club,2007,4.6,464
Lullaby,2008,4.7,177
Mal Nascida,2007,6.7,113
Matab sena'y,2006,6.5,1911
One piece: Norowareta seiken,2004,6.8,1189
Rich Kids,2007,3.7,1226
Small Gods,2007,6.5,193
BABA 'Bu Alem Bi Alem',2019,4.5,402
Chambre 212,2019,6.4,392
Uriyadi 2,2019,7.3,526
Chambal,2019,7.5,104
Incitement,2019,7.5,184
Chhalawa,2019,3.4,256
Helen,2009,6.3,1805
Loins of Punjab Presents,2007,7,749
Redbelt,2008,6.7,19888
Rakshasudu,2019,8.4,613
Idiots and Angels,2008,7,2910
The Man Who Came Back,2008,5,788
Knight and Day,2010,6.3,172209
Fast & Furious,2009,6.6,247849
Milk,2008,7.5,157937
Singularidades de uma Rapariga Loura,2009,6.2,1528
Dylan Dog: Dead of Night,2010,5.1,14258
Odessa,2019,6.2,187
Mon chien Stupide,2019,6.4,137
Das perfekte Geheimnis,2019,6.9,702
Bheja Fry,2007,7.6,10466
Tutte le donne della mia vita,2007,4.9,173
Zoo,2005,6.9,474
Wo he wo de zu guo,2019,6.6,623
Alice in Wonderland,2010,6.4,364948
Child 44,2015,6.5,61104
Iskariot,2008,5.2,381
The Least of These,2008,6.1,223
A Shine of Rainbows,2009,7.1,2064
Beverly Hills Chihuahua,2008,3.8,21394
Fearmakers,2008,2.2,180
The Poker House,2008,6.4,4804
Rule of Three,2008,5,127
The Understudy,2008,5.2,123
Welad Rizk 2,2019,7.5,534
Heer Maan Ja,2019,6.1,153
Adopt a Sailor,2008,7.1,381
Frat House Massacre,2008,4.9,192
The Reflecting Pool,2008,6.5,167
The Sisterhood of Night,2014,6.2,1920
Train,2008,4.7,5632
La femme de mon frère,2019,6.9,301
"Hello, Love, Goodbye",2019,7.6,516
Columbus Day,2008,5.3,3200
Densetsu kyojin ideon: Hatsudou-hen,1982,7.1,115
30 Days to Die,2009,2.4,288
Slasher,2007,2.5,245
Battle Planet,2008,3.9,846
Ulzhan,2007,6.7,576
Fame,2009,5,15528
The Cursed,2010,5.8,1910
Geol kapseu,2019,5.5,310
Chain Kulii Ki Main Kulii,2007,5.4,833
Go,2007,2.8,133
Mogari no mori,2007,6.9,2114
Pax,2010,3.1,240
Splintered,2010,4,963
Kurôzu zero,2007,7.1,6974
La habitación de Fermat,2007,6.7,18016
Megane,2007,6.8,1205
À Deriva,2009,6.8,2658
Captain Abu Raed,2007,7.2,1532
Days of Wrath,2008,6.8,139
House of Usher,2008,2.9,474
The Runaways,2010,6.5,44319
Race,2008,6.6,11840
Splice,2009,5.7,89204
Sympathy,2007,5.1,356
The Tortured,2010,5.5,7040
Chun nyun hack,2007,6.6,210
Zuo you,2007,6.9,642
Loro,2018,6.7,1684
Yves,2019,5.7,226
Cão Sem Dono,2007,6.9,398
Deserto Feliz,2007,6.2,140
One piece: Omatsuri danshaku to himitsu no shima,2005,7.2,1200
Our Brand Is Crisis,2015,6.1,19412
Thamaasha,2019,8,566
Dog Town,2019,4.7,184
The Sisterhood of the Traveling Pants 2,2008,6.2,25877
Espíritu del bosque,2008,4.5,236
Ye. leung heun,2007,6.2,179
Assassination of a High School President,2008,6.2,15154
Yonkers Joe,2008,6.4,756
Kuaile gongchang,2007,4.9,196
A Serious Man,2009,7,124426
Yin he bu xi ban,2019,6.2,207
Rahman 1400,2019,4.8,600
Aksharaya,2005,5.4,155
Chitra Nodir Pare,1998,7.4,107
Hei wong ji wong,2007,5.3,229
Atlantique,2019,7.1,577
Les misérables,2019,7.5,970
Shimana Periye,1977,7.6,130
Dylda,2019,7.2,1618
Something Is Killing Tate,2008,6.9,246
Liberté,2019,4.7,228
Night Train,2009,5.7,8671
Selma,2014,7.5,79195
Trois jours et une vie,2019,6.6,100
Eden Lake,2008,6.8,71850
Infestation,2009,5.9,8592
Centurion,2010,6.4,75005
Patagonia,2010,6.7,518
Copie conforme,2010,7.3,18883
Killer in Law,2018,5.1,133
Kalki,2019,7.3,216
"Family Romance, LLC.",2019,6.8,179
"The Gangster, the Cop, the Devil",2019,6.9,2631
Circulation,2008,4,141
Khaw hai rak jong jaroen,2007,6.9,162
Lesbian Vampire Killers,2009,5.1,19035
Mayak,2006,6.5,182
1. Mai,2008,6.3,217
August Evening,2007,6.9,263
Awarapan,2007,7.2,5868
Eden,2008,5.9,197
Fuera de carta,2008,6.2,1922
Gaalatny mogreman,2006,6.4,1872
Mang shan,2007,7.4,1467
Mui dong bin wan si,2007,6.7,325
Naqaab,2007,5.3,1242
Odd Brodsky,2014,6.9,149
Switch,2007,5.3,888
Yumurta,2007,6.6,4559
Li kai Lei Feng de ri zi,1996,6.3,132
Agent Sai Srinivasa Athreya,2019,8.6,3084
Milliard,2019,2.7,503
Vinci Da,2019,7.2,886
Zhong guo ji zhang,2019,6,397
Lie huo ying xiong,2019,5.4,250
Tu mérites un amour,2019,6.6,104
Chum thaang rot fai phii,2007,3.4,254
Lohk thang bai hai naai khon diao,1995,6.1,150
(500) Days of Summer,2009,7.7,448799
Leonera,2008,7,2831
Hatsukoi,2019,7.2,850
Perdrix,2019,6.8,183
Minghags,2009,5.2,658
Pig Hunt,2008,4.7,2386
The Scouting Book for Boys,2009,6.6,817
Never Back Down,2008,6.6,92051
The Way Back,2010,7.3,103745
Of Boys and Men,2008,6.3,132
Outrage,2009,3.1,249
True Adolescents,2009,6.1,669
Universal Soldiers,2007,1.7,1431
Coco Chanel & Igor Stravinsky,2009,6.4,5956
Step Up 2: The Streets,2008,6.2,76957
Il divo - La spettacolare vita di Giulio Andreotti,2008,7.3,14771
Doghouse,2009,6,20415
Inseparable Bros,2019,7.1,163
Monster Island,2019,2.6,277
D-Day,2019,6.7,492
Cartouches gauloises,2007,6.7,171
The Local,2008,5.6,328
Prey,2009,2.2,274
Wild Child,2008,6.1,46333
Chopsticks,2019,6.5,3146
Ghost Tropic,2019,6.8,112
Argo,2012,7.7,543920
Session,2011,2.6,140
Akihabara@Deep,2006,6,144
Choke,2008,6.5,30671
$5 a Day,2008,6.3,2987
I Come with the Rain,2009,5.4,2879
Jake's Corner,2008,5.7,157
The People I've Slept With,2012,4.8,635
Recién cazado,2009,5.9,577
De Taali,2008,4,748
Gunned Down,2017,5.1,791
Negatibu happî chênsô ejji,2007,5.7,292
Amar a morir,2009,6.3,435
Aska Susayanlar: Seks ve Cinayet,1972,4.5,172
"Ce soir, je dors chez toi",2007,5.2,580
Enfin veuve,2007,5.4,888
Kærlighed på film,2007,7.2,4455
Om Shanti Om,2007,6.7,36002
Windcroft,2007,4.1,243
Ftasamee!...,2004,6.4,207
Gemini Man,2019,5.7,21606
The Pardon,2013,5.6,312
Badland,2019,6.7,424
Kabaneri of the Iron Fortress: Unato Decisive Battle,2019,6.7,248
Deviant Love,2019,3.5,191
Enes Batur Gerçek Kahraman,2019,3.4,6623
Lux Æterna,2019,7,102
K-13,2019,6,280
Beshoot,2019,8.5,136
Absurdistan,2008,6.8,1559
Kill Speed,2010,3.9,1789
Wall Street: Money Never Sleeps,2010,6.2,94563
Stiletto,2008,4.9,2445
Uncross the Stars,2008,6.4,186
Wasting Away,2007,5.7,3031
The Incident,2011,5.6,4051
Swing Vote,2008,6.1,17061
The Magnificent Eleven,2013,3.4,373
InAlienable,2007,3.5,426
Chui lung II,2019,5.8,244
Ghost Writer,2019,6.9,175
Death Proof,2007,7,252695
Hachi: A Dog's Tale,2009,8.1,230545
Konjaku monogatari: The new edition,2007,2.1,426
Nasrani,2007,4.1,234
Secretariat,2010,7.2,25003
Love N' Dancing,2009,5.4,1654
Henry Poole Is Here,2008,6.4,12004
I Know You Know,2008,6.2,497
Birds of America,2008,6.1,5167
La ligne brisée,2008,6.3,128
Lost Dream,2009,5.2,106
El resultado del amor,2007,6.1,148
Krrish 3,2013,5.2,19354
Martyrs,2008,7.1,76712
Max Manus,2008,7.3,25211
Gwan gai,2007,5.5,614
Vinyan,2008,5.2,5278
Beyond the Pole,2009,5.7,376
The Errand of Angels,2008,6.1,219
Morris: A Life with Bells On,2009,6.4,172
Poltergeist,2015,4.9,52547
Roanoke: The Lost Colony,2007,4.8,109
Julgamento,2007,6.1,222
Shi tu xing zhe 2: Die ying xing dong,2019,5.9,294
Así habló el cambista,2019,6.5,104
Over The Moon In Love,2019,6.5,377
The Outsider,2019,5.7,1171
Arctic Apocalypse,2019,2,169
Malaal,2019,5.6,445
Storozh,2019,6.3,381
Bianco e nero,2008,5.7,537
Control Alt Delete,2008,4.4,468
Dansen,2008,5.8,347
From Time to Time,2009,6.7,4212
The Garden of Eden,2008,5.3,873
Hania,2007,5.1,106
Radio Corazón,2007,4.9,277
Bad Girl Island,2007,3.4,468
Splinter,2008,6.1,31556
Stritreysery,2008,2.8,830
Truffe,2008,5.8,235
Das Vaterspiel,2009,6.2,244
Jack Says,2008,4.3,355
Beautiful Girl,2014,4.7,313
Badnaam Gali,2019,7.1,323
Foster Child,2007,6.9,241
Gegenüber,2007,6.5,371
Lo kong ching chuen,2007,6.8,303
Munyurangabo,2007,6.7,471
PVC-1,2007,6.7,867
The Rocker,2008,6.2,35693
Slushaya tishinu,2007,7,177
Aykut Eniste,2019,7.1,1576
Password,2019,4.9,164
Article 15,2019,8.3,13683
Bad Ben: The Way In,2019,5.3,103
Ace of Hearts,2008,5.6,588
The Butterfly Tattoo,2009,5.5,432
Evilution,2008,3.7,679
The Warrior's Way,2010,6.3,24544
RocknRolla,2008,7.3,223117
Xing ying bu li,2011,5.4,1995
Violanchelo,2008,6.5,353
Lego DC Batman: Family Matters,2019,6.1,416
Portals,2019,2.9,298
"I Love You, Beth Cooper",2009,5.3,32239
Middle of Nowhere,2008,6.5,3393
Powder Blue,2009,6.3,13613
Love and Other Impossible Pursuits,2009,6.4,18047
"4 luni, 3 saptamâni si 2 zile",2007,7.9,52979
Bikur Ha-Tizmoret,2007,7.5,12311
Ye che,2007,6.4,365
Geroy,2019,3.9,149
Zaboronenyi,2019,7.6,175
Sivappu Manjal Pachai,2019,7.2,529
Aruvam,2019,4.4,138
Kandisha,2008,7.1,7085
Uta,1972,6.7,145
The Descendants,2011,7.3,225606
Qiu jue,1972,7.2,106
What Happens in Vegas,2008,6.1,159201
Agapi sta 16,2004,6.8,204
Bad Meat,2011,3.5,747
Gamer,2009,5.8,126103
Mozhi,2007,8,1468
Takatak,2019,6.1,115
All's Faire in Love,2009,5,803
0.0 Mhz,2019,4.6,109
Somewhere Tonight,2011,5.9,245
The Cry of the Owl,2009,6,4249
Defiance,2008,7.2,131598
Don't Look Up,2009,3.1,1455
Dorothy Mills,2008,6,5166
Hata Göteborg,2007,5.4,1363
Iron Sky,2012,5.9,88706
Major Movie Star,2008,4.3,3826
The Mighty Macs,2009,6.5,1324
Phoebe in Wonderland,2008,7.1,7290
Righteous Kill,2008,6,81553
Cold Skin,2017,6,9864
Du bist nicht allein,2007,6.5,245
The Eagle,2011,6.2,62410
Les insoumis,2008,5.8,639
Pattiyal,2006,7.1,341
Suspiria,2018,6.8,46628
White Lightnin',2009,7.1,1592
Aleksandra,2007,6.8,2416
Bheemaa,2008,5.6,786
Beyond America,2008,3.8,108
Kidnap,2008,4.6,2159
Tan Lines,2005,5.3,1026
Le bal des actrices,2009,6.6,1007
Anonyma - Eine Frau in Berlin,2008,7.1,5701
Effi Briest,2009,5.6,767
Tiao chu qu,2009,5.5,214
Coco avant Chanel,2009,6.7,37223
A1: Accused No. 1,2019,5.2,187
My Alien Girlfriend,2019,5.2,118
American Son,2008,5.7,748
Oththa Seruppu Size 7,2019,9.1,943
Bremenskie muzykanty,2001,4.3,111
Mossad,2019,7.1,171
Runam,2019,9.7,133
Frei nach Plan,2007,6.2,112
Frost,2008,5.8,532
Magamuni,2019,8.1,919
One Piece: Episode of Alabaster - Sabaku no Ojou to Kaizoku Tachi,2007,7.1,1109
Kiru,2008,4.9,121
Nu ren bu huai,2008,5.1,440
Deadland,2009,4.1,576
Stone of Destiny,2008,6.8,3505
The Time That Remains,2009,7,2069
Flashbacks of a Fool,2008,6.8,11514
Robosapien: Rebooted,2013,4.7,1096
Everyday,2012,6.2,720
Whisky mit Wodka,2009,6.3,477
Wolke 9,2008,6.6,1411
Yoroi: Samurai zonbi,2008,5.1,207
Die zwei Leben des Daniel Shore,2009,6.1,100
Leberkäsjunkie,2019,7.2,318
The Book of Eli,2010,6.9,277630
La nuit des horloges,2007,5.6,109
Bu neng shuo de. mi mi,2007,7.5,7222
The Mummy Rebirth,2019,4.6,586
Ligeia,2009,3.8,1565
Adutha Chodyam,2019,9.1,593
Mammoth,2009,6.9,9367
Mein Kampf,2009,5.1,699
Uahan segye,2007,6.9,1183
Jackpot,2019,5.3,223
You Belong to Me,2007,5.8,345
Parlami d'amore,2008,4.9,608
Chasing Unicorns,2019,7.3,120
La odisea de los giles,2019,7.8,1390
The Box Collector,2008,4,276
The King of Fighters,2010,3,3955
Legion,2010,5.2,94515
The Story of Luke,2012,7.2,2917
Spiker,2007,2.2,396
Shoot on Sight,2007,6.1,1581
The Bounty Hunter,2010,5.6,115030
How to Be a Serial Killer,2008,5.5,1967
[Rec],2007,7.4,156332
Shesh Theke Shuru,2019,4.6,115
Susi Susanti: Love All,2019,7.7,115
Manipulation,2011,6.3,172
Justice/Vengeance,2009,5.3,112
Yonayona pengin,2009,4.9,141
La zona,2007,7,5185
Dear Friends,2007,6.7,328
The Immaculate Conception of Little Dizzle,2009,6.2,849
Nanayomachi,2008,6.9,562
Citulja za Eskobara,2008,6.3,1844
Sveitabrúðkaup,2008,6.5,398
The Life of Buddha,2007,6.7,140
Asbe du-pa,2008,6.9,461
Cactus,2008,5.8,546
Citizen,2001,7.1,2407
Estômago,2007,7.8,4727
The Last Lear,2007,7,1000
Red,2002,4.3,600
Satanic Panic,2009,2.4,239
Sunday,2008,5.3,2348
U Me Aur Hum,2008,5.9,2325
Zhestokost,2007,5.9,198
Got My Eye on You,2007,5.9,351
Nochnye syostry,2007,6.4,121
The Orange Thief,2007,6.1,105
Asad wa arbaa qutat,2007,3.5,318
Shibu,2019,9.4,533
Deux moi,2019,6.8,550
Byk,2019,6.3,298
Ikkayude Shakadam,2019,4.4,113
Hometown Killer,2018,5.8,103
Harold,2008,5.5,1819
Let the Game Begin,2010,5.3,575
The Nutcracker in 3D,2010,4.2,3218
The Proposal,2009,6.7,278142
BoBoiBoy Movie 2,2019,8.1,260
Awqat faragh,2006,6.8,488
Johnny Mad Dog,2008,6.8,3128
Exit Speed,2008,5.2,2020
Filth and Wisdom,2008,5.6,2343
Ghost Month,2009,2.9,777
Trage liefde,2007,5.8,135
Tu£sday,2008,5.1,562
Cadillac Records,2008,7,18717
Curse of the Pink Panties,2007,3.6,106
Jump Offs,2007,4.3,118
Totally Spies! Le Film,2009,6.5,334
Raatchasi,2019,7.3,514
Yedinci Kogustaki Mucize,2019,8.3,1922
Beneath the Surface,2007,4.6,168
Hei dian,1972,7.1,123
Delhi-6,2009,6,6453
Je vais te manquer,2009,5.2,127
